iter	Passed	Remaining
0	204	102010
1	381	95031
2	560	92886
3	699	86693
4	801	79375
5	910	74981
6	1015	71525
7	1143	70310
8	1277	69712
9	1391	68175
10	1542	68572
11	1702	69234
12	1818	68110
13	1990	69112
14	2157	69748
15	2314	70023
16	2433	69130
17	2599	69604
18	2747	69566
19	2900	69602
20	3034	69220
21	3237	70340
22	3398	70490
23	3567	70764
24	3717	70631
25	3910	71285
26	4092	71699
27	4210	70970
28	4381	71160
29	4520	70816
30	4686	70904
31	4813	70401
32	4975	70406
33	5124	70242
34	5296	70368
35	5442	70141
36	5619	70314
37	5796	70468
38	6059	71631
39	6190	71189
40	6388	71516
41	6584	71802
42	6796	72231
43	7007	72625
44	7199	72796
45	7457	73597
46	7674	73968
47	7912	74510
48	8136	74887
49	8336	75030
50	8460	74484
51	8581	73936
52	8703	73406
53	8820	72849
54	8949	72407
55	9083	72020
56	9243	71842
57	9458	72078
58	9663	72232
59	9788	71783
60	10034	72216
61	10154	71733
62	10405	72180
63	10612	72298
64	10744	71907
65	10880	71546
66	11149	72057
67	11438	72665
68	11559	72206
69	11742	72130
70	11972	72342
71	12104	71957
72	12312	72017
73	12438	71604
74	12630	71573
75	12864	71767
76	13069	71795
77	13232	71591
78	13356	71179
79	13478	70760
80	13647	70597
81	13769	70193
82	13984	70257
83	14163	70141
84	14407	70341
85	14538	69987
86	14728	69918
87	14851	69529
88	15103	69746
89	15297	69688
90	15426	69332
91	15557	68992
92	15677	68611
93	15798	68236
94	15943	67970
95	16062	67596
96	16179	67218
97	16298	66856
98	16467	66703
99	16654	66616
100	16851	66570
101	16978	66249
102	17191	66260
103	17541	66792
104	17744	66752
105	17965	66776
106	18199	66844
107	18327	66523
108	18532	66479
109	18662	66168
110	18852	66067
111	19060	66030
112	19258	65957
113	19445	65841
114	19667	65842
115	19908	65902
116	20125	65879
117	20328	65810
118	20522	65707
119	20670	65457
120	20871	65373
121	21052	65227
122	21183	64928
123	21364	64783
124	21550	64650
125	21997	65294
126	22371	65703
127	22912	66588
128	23148	66575
129	23423	66666
130	23625	66548
131	23852	66496
132	24042	66342
133	24274	66301
134	24560	66403
135	24887	66609
136	25798	68355
137	26225	68794
138	26942	69973
139	27374	70390
140	28070	71471
141	29184	73578
142	29702	74153
143	30314	74943
144	31198	76382
145	31796	77096
146	32427	77870
147	32888	78221
148	33342	78545
149	33792	78848
150	34120	78860
151	34381	78715
152	34643	78570
153	34972	78573
154	35236	78430
155	35553	78399
156	35821	78259
157	36105	78153
158	36384	78032
159	36569	77710
160	36803	77492
161	37040	77282
162	37347	77216
163	37557	76947
164	37772	76688
165	38073	76605
166	38277	76326
167	38470	76024
168	38731	75858
169	38970	75647
170	39214	75448
171	39427	75186
172	39657	74959
173	39914	74781
174	40132	74532
175	40306	74200
176	40535	73971
177	40765	73744
178	40962	73457
179	41155	73165
180	41368	72909
