age_category,session_duration,tracks_listened,unique_artists
18-25,19.866556215025113,4,1
50+,24.036441557376104,6,3
26-35,30.00233952920182,7,2
26-35,18.562487691804034,5,2
18-25,32.509793952280106,6,2
18-25,9.249214611863335,1,1
Under 18,21.92987966953337,5,1
36-50,17.062811854664215,5,2
26-35,13.10220233953708,3,1
26-35,15.926551921602227,4,2
Under 18,19.655323361115585,5,3
50+,19.74863382074284,4,2
36-50,28.35359098719651,9,3
18-25,30.332255565755723,8,3
18-25,21.943810029728255,4,1
18-25,16.897647047904343,5,2
18-25,27.27312114903213,6,2
26-35,20.08286812606196,5,1
18-25,8.830698296780556,1,1
18-25,26.5730805870987,5,2
26-35,35.59129481450794,7,3
Under 18,14.247318463483865,4,2
18-25,33.725762144493,6,2
18-25,24.081366231851103,7,3
18-25,23.03773384575425,4,1
36-50,18.89988340719438,5,1
18-25,27.121021377704935,5,2
26-35,12.804974982857713,4,1
26-35,22.281676435386363,5,2
Under 18,14.867857348264435,2,1
26-35,14.5285379988209,3,1
18-25,26.040912187209592,5,2
Under 18,22.387969336136294,5,2
50+,22.02345752597079,4,2
50+,16.608499955382403,3,1
36-50,27.91047731183849,6,3
18-25,20.539992294206375,5,1
Under 18,16.694975662192864,3,1
26-35,19.88888987548502,5,3
18-25,6.11967363362591,1,1
Under 18,28.15059912391856,6,2
18-25,27.356336182543302,7,2
Under 18,40.491582287527265,11,6
50+,16.326901476714426,3,1
18-25,15.332444784074108,3,1
26-35,11.38851821927278,3,1
18-25,26.719764406593505,6,2
26-35,30.838611476365294,10,6
26-35,37.41423935438749,8,3
18-25,13.583505864046657,4,2
50+,21.581827822325877,5,2
36-50,18.867756541928077,3,1
50+,24.71858096973758,5,2
36-50,25.217290728953696,5,2
26-35,12.554447751940218,3,1
50+,17.344014801610278,5,2
Under 18,6.363200583365106,1,1
18-25,11.857028014122127,2,1
Under 18,12.28041760154432,3,1
18-25,15.51340985515007,4,1
18-25,18.161199511967492,3,1
18-25,21.152081665532542,5,1
36-50,22.687274204765952,5,1
18-25,19.832981194198762,4,2
18-25,22.326697996336655,7,2
26-35,15.00164286927297,3,1
Under 18,20.512251001533723,6,2
36-50,30.60675415911008,9,3
Under 18,18.839380211952573,4,1
50+,20.47336382783233,4,2
36-50,24.409748270160073,4,2
18-25,26.035879014218082,6,2
Under 18,22.009972298161664,4,1
36-50,27.072191372195988,5,1
26-35,29.05833103341955,7,3
26-35,30.25828006955266,9,3
36-50,24.652765853670232,6,3
Under 18,12.952474565194487,3,1
18-25,11.804649573151769,3,1
Under 18,17.527407790470164,4,1
36-50,31.309843169058095,7,2
26-35,23.626775648581454,5,2
18-25,22.166916393310643,6,2
Under 18,6.228855742341835,1,1
18-25,21.356193304676744,5,2
18-25,20.601356128916414,4,1
26-35,3.6134483373887605,1,1
26-35,27.327111535766303,7,2
36-50,12.094116660068604,3,1
18-25,14.922555845615467,3,1
Under 18,26.961304092924607,5,2
26-35,26.259612214701857,5,2
36-50,19.30929945418142,4,1
26-35,20.727398405222367,4,1
36-50,19.492046598200982,5,2
18-25,21.126222681435593,4,1
26-35,15.394857140833109,4,1
18-25,27.870922277026647,6,2
Under 18,11.96705424785717,3,1
Under 18,7.910597270122668,1,1
Under 18,26.938071923629494,8,3
26-35,21.504629407524256,5,2
18-25,20.493217134613715,6,2
26-35,30.237048136076012,9,4
50+,14.402815260527237,3,1
18-25,20.96002026647388,5,2
18-25,24.537504871119758,5,2
36-50,31.859409315249852,9,3
18-25,16.422587752508452,4,1
Under 18,16.759369597488163,3,1
18-25,23.943286335277296,6,2
18-25,21.46015074841187,5,2
50+,17.31482120252585,3,1
36-50,31.556139895051516,8,5
26-35,11.540501845507379,2,1
36-50,13.46952729725283,2,1
36-50,11.974708361467686,3,1
18-25,28.41175972699982,6,2
36-50,25.08833992732271,5,2
26-35,14.034039329065507,3,1
36-50,21.261799651904642,4,2
36-50,21.833946439966187,4,1
18-25,4.535462665574936,1,1
Under 18,21.31793989562,5,2
18-25,11.757177565066845,3,1
18-25,24.946679828237023,5,1
36-50,15.118352525321203,4,2
36-50,23.314958923126174,5,1
Under 18,29.06199162952896,7,2
26-35,32.79648064810581,9,5
18-25,23.55015418602005,5,1
18-25,19.430650964907773,5,2
Under 18,9.499270340392076,2,1
18-25,16.926329117903673,3,1
50+,16.869969153635463,4,1
18-25,17.915243595617213,4,2
26-35,12.731822061442909,4,2
26-35,28.47547795859096,7,4
18-25,11.733590293722996,3,1
50+,25.73054471802827,6,2
50+,18.740105926593472,4,1
18-25,26.85483839610117,8,4
18-25,26.710151982417393,8,3
18-25,34.54552149123382,8,2
18-25,21.27316703667337,5,2
Under 18,17.269571251330408,5,3
